year,eea_cell_code,speciesKey,n,min_coord_uncertainty
2000,1kmE3936N3107,3021850,1,700
2000,1kmE3936N3109,3021850,2,700
2000,1kmE3936N3111,3021850,1,700
2000,1kmE3936N3126,2891770,1,700
2000,1kmE3936N3139,3021850,1,700
2000,1kmE3937N3099,3034825,1,700
2000,1kmE3937N3108,3021850,2,700
2000,1kmE3937N3110,3021850,3,700
2000,1kmE3938N3085,2889173,1,700
2000,1kmE3938N3085,2891770,1,700
2000,1kmE3938N3086,3021850,1,700
2000,1kmE3938N3088,3021850,2,700
2000,1kmE3938N3088,5352251,1,700
2000,1kmE3938N3089,3021850,1,700
2000,1kmE3938N3089,5352251,1,700
2000,1kmE3938N3090,5352251,2,700
2000,1kmE3938N3094,5352251,1,700
2000,1kmE3938N3095,5352251,2,700
2000,1kmE3938N3098,3034825,1,700
2000,1kmE3938N3098,5352251,2,700
2000,1kmE3938N3099,3021850,1,700
2000,1kmE3938N3100,5352251,1,700
2000,1kmE3938N3108,3021850,1,700
2000,1kmE3938N3126,2891770,1,700
2000,1kmE3938N3128,2891770,1,700
2000,1kmE3939N3086,5352251,1,700
2000,1kmE3939N3088,3021850,3,700
2000,1kmE3939N3090,3021850,1,700
2000,1kmE3939N3090,5352251,2,700
2000,1kmE3939N3092,5352251,1,700
2000,1kmE3939N3093,3021850,1,700
2000,1kmE3939N3093,5352251,1,700
2000,1kmE3939N3094,3021850,1,700
2000,1kmE3939N3095,5352251,4,700
2000,1kmE3939N3098,5352251,1,700
2000,1kmE3939N3099,3021850,1,700
2000,1kmE3939N3101,5352251,1,700
2000,1kmE3939N3111,3021850,1,700
2000,1kmE3939N3111,5352251,1,700
2000,1kmE3939N3112,3021850,1,700
2000,1kmE3939N3119,3021850,1,700
2000,1kmE3939N3137,3021850,1,700
2000,1kmE3939N3138,3021850,1,700
2000,1kmE3939N3164,3034825,1,700
2000,1kmE3940N3091,3021850,1,700
2000,1kmE3940N3091,5352251,1,700
2000,1kmE3940N3092,3021850,1,700
2000,1kmE3940N3094,5352251,1,700
2000,1kmE3940N3095,5352251,1,700
2000,1kmE3940N3097,3034825,2,700
2000,1kmE3940N3099,5352251,2,700
2000,1kmE3940N3107,3021850,1,700
2000,1kmE3940N3108,3021850,1,700
2000,1kmE3940N3119,2889173,1,700
2000,1kmE3940N3163,2891770,2,700
2000,1kmE3940N3163,7889822,1,700
2000,1kmE3940N3164,2889173,1,700
