usageKey	scientificName	canonicalName	rank	status	confidence	matchType	kingdom	phylum	order	family	genus	species	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	synonym	class	acceptedUsageKey	verbatim_name	verbatim_index,GBIF_scientific_name
"3039209	""Parthenocissus tricuspidata (Siebold & Zucc.) Planch.""	""Parthenocissus tricuspidata""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Vitales""	""Vitaceae""	""Parthenocissus""	""Parthenocissus tricuspidata""	6	7707728	220	7222050	6672	3039188	3039209	FALSE	""Magnoliopsida""	NA	""Parthenocissus tricuspidata""	41",incertae sedis
"2870583	""Pistia stratiotes L.""	""Pistia stratiotes""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Alismatales""	""Araceae""	""Pistia""	""Pistia stratiotes""	6	7707728	196	551	6979	2870582	2870583	FALSE	""Liliopsida""	NA	""Pistia stratiotes""	42",incertae sedis
"3021496	""Prunus laurocerasus L.""	""Prunus laurocerasus""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Prunus""	""Prunus laurocerasus""	6	7707728	220	691	5015	3020559	3021496	FALSE	""Magnoliopsida""	NA	""Prunus laurocerasus""	43",incertae sedis
"3021850	""Prunus serotina Ehrh.""	""Prunus serotina""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Prunus""	""Prunus serotina""	6	7707728	220	691	5015	3020559	3021850	FALSE	""Magnoliopsida""	NA	""Prunus serotina""	44",incertae sedis
"2889173	""Reynoutria japonica Houtt.""	""Reynoutria japonica""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Caryophyllales""	""Polygonaceae""	""Reynoutria""	""Reynoutria japonica""	6	7707728	220	422	2416	8420120	2889173	FALSE	""Magnoliopsida""	NA	""Reynoutria japonica""	45",incertae sedis
"2889088	""Reynoutria sachalinensis (F.Schmidt) Nakai""	""Reynoutria sachalinensis""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Caryophyllales""	""Polygonaceae""	""Reynoutria""	""Reynoutria sachalinensis""	6	7707728	220	422	2416	8420120	2889088	FALSE	""Magnoliopsida""	NA	""Reynoutria sachalinensis""	46",incertae sedis
"4038485	""Reynoutria ×bohemica Chrtek & Chrtková""	""Reynoutria bohemica""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Caryophyllales""	""Polygonaceae""	""Reynoutria""	""Reynoutria bohemica""	6	7707728	220	422	2416	8420120	4038485	FALSE	""Magnoliopsida""	NA	""Reynoutria x bohemica""	47",incertae sedis
"3190538	""Rhus typhina L.""	""Rhus typhina""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Sapindales""	""Anacardiaceae""	""Rhus""	""Rhus typhina""	6	7707728	220	933	2398	3190534	3190538	FALSE	""Magnoliopsida""	NA	""Rhus typhina""	48",incertae sedis
"5352251	""Robinia pseudoacacia L.""	""Robinia pseudoacacia""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Fabales""	""Fabaceae""	""Robinia""	""Robinia pseudoacacia""	6	7707728	220	1370	5386	2952066	5352251	FALSE	""Magnoliopsida""	NA	""Robinia pseudoacacia""	49",incertae sedis
"3003979	""Rosa rugosa Thunb.""	""Rosa rugosa""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Rosa""	""Rosa rugosa""	6	7707728	220	691	5015	8395064	3003979	FALSE	""Magnoliopsida""	NA	""Rosa rugosa""	50",incertae sedis
"2996525	""Rubus armeniacus Focke""	""Rubus armeniacus""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Rubus""	""Rubus armeniacus""	6	7707728	220	691	5015	2988638	2996525	FALSE	""Magnoliopsida""	NA	""Rubus armeniacus""	51",incertae sedis
"3114229	""Rudbeckia laciniata L.""	""Rudbeckia laciniata""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Rudbeckia""	""Rudbeckia laciniata""	6	7707728	220	414	3065	3114220	3114229	FALSE	""Magnoliopsida""	NA	""Rudbeckia laciniata""	52",incertae sedis
"5274863	""Salvinia ×molesta D.S.Mitch.""	""Salvinia molesta""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Salviniales""	""Salviniaceae""	""Salvinia""	""Salvinia molesta""	6	7707728	7228684	7229405	6629	7801597	5274863	FALSE	""Polypodiopsida""	NA	""Salvinia molesta""	53",incertae sedis
"5389029	""Solidago canadensis L.""	""Solidago canadensis""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Solidago""	""Solidago canadensis""	6	7707728	220	414	3065	5388868	5389029	FALSE	""Magnoliopsida""	NA	""Solidago canadensis""	54",incertae sedis
"5389017	""Solidago gigantea Aiton""	""Solidago gigantea""	""SPECIES""	""ACCEPTED""	98	""EXACT""	""Plantae""	""Tracheophyta""	""Asterales""	""Asteraceae""	""Solidago""	""Solidago gigantea""	6	7707728	220	414	3065	5388868	5389017	FALSE	""Magnoliopsida""	NA	""Solidago gigantea""	55",incertae sedis
"3026585	""Spiraea alba Du Roi""	""Spiraea alba""	""SPECIES""	""ACCEPTED""	98	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Spiraea""	""Spiraea alba""	6	7707728	220	691	5015	3026392	3026585	FALSE	""Magnoliopsida""	NA	""Spiraea alba""	56",incertae sedis
"3027159	""Spiraea douglasii Hook.""	""Spiraea douglasii""	""SPECIES""	""ACCEPTED""	99	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Spiraea""	""Spiraea douglasii""	6	7707728	220	691	5015	3026392	3027159	FALSE	""Magnoliopsida""	NA	""Spiraea douglasii""	57",incertae sedis
"3026454	""Spiraea salicifolia L.""	""Spiraea salicifolia""	""SPECIES""	""ACCEPTED""	98	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Spiraea""	""Spiraea salicifolia""	6	7707728	220	691	5015	3026392	3026454	FALSE	""Magnoliopsida""	NA	""Spiraea salicifolia""	58",incertae sedis
"3026819	""Spiraea tomentosa L.""	""Spiraea tomentosa""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Spiraea""	""Spiraea tomentosa""	6	7707728	220	691	5015	3026392	3026819	FALSE	""Magnoliopsida""	NA	""Spiraea tomentosa""	59",incertae sedis
"7889822	""Spiraea ×billardii Hérincq""	""Spiraea billardii""	""SPECIES""	""ACCEPTED""	97	""EXACT""	""Plantae""	""Tracheophyta""	""Rosales""	""Rosaceae""	""Spiraea""	""Spiraea billardii""	6	7707728	220	691	5015	3026392	7889822	FALSE	""Magnoliopsida""	NA	""Spiraea x billardii""	60",incertae sedis
